,alternate_name,caption,commentCount,likes,uploadDate,views,duration,title,post_url
0,@fallontonight,,1010,87.8k,2019-08-09T05:36:08,731106,6:21,Ron Burgundy (Will Ferrell) has beef with Shawn Mendes,https://www.instagram.com/tv/B07h0uZAeDv/
1,@fallontonight,"Jimmy takes @queereye’s Fab Five on The BEAST, a jet-powered speed boat ride that’s like a rollercoaster on the Hudson River",1632,79.8k,2019-08-08T15:12:06,722975,2:42,Jimmy and @queereye’s Fab Five ride The BEAST,https://www.instagram.com/tv/B06EsQWANWw/
2,@fallontonight,,2345,171.3k,2019-08-07T03:33:27,1420625,1:52,Jimmy & @postmalone go head-to-head in Beer Pong,https://www.instagram.com/tv/B02Pb8-gNXY/
3,@fallontonight,Jimmy and @juliannemoore revisit an improv-style commercial they starred in back in the &#x27;90s during their little-known law careers.,638,55k,2019-08-06T04:06:24,536549,2:49,Cue Card Cold Read w/ @juliannemoore,https://www.instagram.com/tv/B0zn7TMAxpn/
4,@fallontonight,,2745,161k,2019-08-05T21:55:47,1061845,1:06,Jimmy addresses the El Paso and Dayton tragedies,https://www.instagram.com/tv/B0zEwGqActm/
5,@fallontonight,"@QueerEye’s Fab Five reveal how they know when @jvn is cranky, the dumbest thing @tanfrance has done and the hardest @antoni has laughed",1713,96.8k,2019-07-31T15:23:24,1570179,7:03,We Test How Well @QueerEye’s Fab Five Know Each Other,https://www.instagram.com/tv/B0lc_DhA8Mj/
6,@fallontonight,#Summertime #TB to @camila_cabello and @theroots helping Jimmy sing his favorite #SummerSongs tweets,1122,154.6k,2019-07-28T19:45:13,1848776,6:00,#SummerSongs with @camila_cabello,https://www.instagram.com/tv/B0eOQACgKC5/
7,@fallontonight,Kevin Delaney shows Jimmy how to roast a marshmallow with a firework &amp; more!,238,57.2k,2019-07-26T15:57:39,884099,6:17,Summer Science with Resident Science Expert Kevin Delaney,https://www.instagram.com/tv/B0Yl2juAup0/
8,@fallontonight,Jimmy challenges @davidspade to give opinions on the spot about randomly generated topics,791,97.4k,2019-07-23T04:12:21,1130767,2:59,Wheel of Opinions with @davidspade,https://www.instagram.com/tv/B0Pr-kcgNd8/
9,@fallontonight,"Jimmy, @kenanthompson and @joemanganiello perform a sportscasting scene they wrote together using Mad Lib words",316,45.9k,2019-07-19T15:03:52,507075,2:43,Mad Lib Theater With @Kenanthompson And @Joemanganiello,https://www.instagram.com/tv/B0GkOfBAc_U/
10,@fallontonight,Jimmy and @stephenathome recreate the @strangerthingstv “NeverEnding Story” duet,1894,107.8k,2019-07-16T17:25:49,895859,1:30,Jimmy and @stephenathome Perform the “NeverEnding Story” Duet,https://www.instagram.com/tv/Bz_FmumAAl8/
11,@fallontonight,Jack Black performs the legendary Sax-A-Boom toy instrument that he made famous by playing at the Tenacious D shows.,4809,330.8k,2019-07-14T19:07:40,2278025,1:01,@jackblack gives us a taste of the Sax-A-Boom,https://www.instagram.com/tv/Bz6IP48gE26/
12,@fallontonight,Jimmy and @maroon5 put on disguises and give a surprise performance of &quot;Crazy Little Thing Called Love&quot; and &quot;Sugar&quot; in a New York City subway station.,2452,134.9k,2019-07-07T22:08:10,1084986,3:28,@maroon5 Performs in an NYC Subway in Disguise,https://www.instagram.com/tv/BzoVW0DAfBt/
13,@fallontonight,"Jimmy had never tried Olive Garden before, so @postmalone took him to experience his favorite restaurant the right way. #tb",2460,143.1k,2019-07-03T23:01:35,1674475,6:51,@postmalone took Jimmy to Olive Garden,https://www.instagram.com/tv/BzeH_Zmg8_i/
14,@fallontonight,"Jimmy and @blackthought strap on GoPro cameras and take on El Monstruo, the world&#x27;s second-longest zip line in Puerto Rico.",1593,81k,2019-06-23T19:26:10,1008925,3:06,"Jimmy Freaks Out Riding Puerto Rico's ""Monster"" Zip Line",https://www.instagram.com/tv/BzEDQISA4u6/
15,@fallontonight,"Adam Devine is torn that Jimmy hasn’t watched his Netflix special &quot;Best Time of Our Lives&quot; yet, but Jimmy is torn that Adam hasn&#x27;t seen “Fever Pitch”",816,98.9k,2019-06-19T04:29:10,1338590,2:16,@andybovine and Jimmy Are “Torn” About Each Other,https://www.instagram.com/tv/By4E3cxgR2z/
16,@fallontonight,"Jimmy, @chrishemsworth and @kumailn interrogate each other in True Confessions.",1079,128.5k,2019-06-14T16:19:10,1609646,6:40,True Confessions with @chrishemsworth and @kumailn.,https://www.instagram.com/tv/ByslBPwASRy/
17,@fallontonight,@jonasbrothers reveal they had a few run-ins with the police at @joejonas’ bachelor party in Know Your Bro.,928,152.1k,2019-06-13T17:12:55,1984757,5:33,Know Your Bro with @jonasbrothers!,https://www.instagram.com/tv/ByqGnAiAqkb/
18,@fallontonight,@robertirwinphotography brings some animals to show Jimmy including a miniature horse and a mandrill monkey.,1963,134.9k,2019-06-04T15:29:48,1252451,4:12,Robert Irwin and Jimmy Bottle Feed a Baby Miniature Horse,https://www.instagram.com/tv/ByStMsxgiUH/
19,@fallontonight,Millie Bobby Brown talks visiting Robert Irwin in Australia and the millipede named after her.,562,112.8k,2019-05-23T15:46:19,1563219,2:10,@robertirwinphotography’s millipede is named after @milliebobbybrown.,https://www.instagram.com/tv/Bxz39Fug4v2/
20,@fallontonight,Kevin Hart explains why his shoes were to blame for a hilarious fall he took at a friend&#x27;s wedding!,1974,144.7k,2019-05-22T04:52:57,1234803,2:45,@KevinHart4Real’s Dance Floor Fail,https://www.instagram.com/tv/BxwH7TOABBP/
21,@fallontonight,J Balvin on how he ended up on stage with Beyoncé at Coachella and why he&#x27;ll only sing in Spanish on his Arcoiris tour,927,89.7k,2019-05-21T04:18:14,1310138,3:02,@JBalvin On How He Ended Up On-Stage With Beyoncé,https://www.instagram.com/tv/BxtWJ8Vg_gC/
22,@fallontonight,Maluma explains how he incorporated his family into his stage name and reveals what it was like to spend a night with Katy Perry at the Met Gala.,2996,166.9k,2019-05-15T04:29:50,2642738,3:38,Maluma Explains the Origin of His Name and Relives The Met Gala,https://www.instagram.com/tv/BxeEQQKg4ao/
23,@fallontonight,Flour Shop owner Amirah Kassem shows Jimmy and Questlove how to make the signature rainbow explosion cakes.,1309,121.8k,2019-05-11T04:38:37,2336095,2:41,Amirah Kassem Shows Jimmy How to Make a Sprinkle-Filled Explosion Cake,https://www.instagram.com/tv/BxTk-R7HbCM/
24,@fallontonight,The Roots’ Tarik Trotter lists every Pokémon he’s caught,1716,81k,2019-05-10T04:06:51,869132,2:28,Compare Pokémon with The Roots’ Tarik Trotter,https://www.instagram.com/tv/BxRIzNVnplH/
25,@fallontonight,Rita Ora talks about her experience at the Met Gala with Lizzo as her date.,265,70k,2019-05-09T04:33:42,1061748,2:35,Rita Ora and Lizzo Spent the Met Gala Flirting with Waiters & Singing Cher,https://www.instagram.com/tv/BxOnzLBnctq/
26,@fallontonight,"Sting and Jimmy are “Two Stings on the Moon” in a parody of the classic, “Walking on the Moon” by The Police.",1281,104k,2019-04-27T04:00:04,913162,3:00,“Two Stings on the Moon”,https://www.instagram.com/tv/BwvqWijHDPf/
27,@fallontonight,"Brie Larson and Jimmy play Beat Saber, a virtual reality game where players slash targets to the beat of the music!",1707,134.9k,2019-04-25T04:34:31,1688788,3:59,Beat Saber with Brie Larson,https://www.instagram.com/tv/BwqkXKSnMAB/
28,@fallontonight,Jimmy brings Alex Rodriguez to a dance studio in NYC where they crash a hip-hop class and learn a routine!,1820,96.7k,2019-04-24T04:17:13,949855,3:36,Alex Rodriguez and Jimmy Crash a Hip-Hop Dance Class,https://www.instagram.com/tv/Bwn8ehtniTf/
29,@fallontonight,It’s an Avengers mash-up of the past decade!,6595,226k,2019-04-23T04:40:54,1535324,1:56,Avengers: Endgame Cast Sings “We Didn’t Start the Fire”,https://www.instagram.com/tv/Bwlb-O9neWF/
30,@fallontonight,,13,507,2019-04-20T05:12:40,38594,2:40,Pete Buttigieg is the Avocado Toast of Democrats,https://www.instagram.com/tv/BwduQiSHdgj/
31,@fallontonight,"The Chainsmokers, 5 Seconds of Summer, and Jimmy face off in a game of Musical Beers!",469,62.4k,2019-03-31T18:34:34,968214,4:15,Musical Beers with The Chainsmokers and 5 Seconds of Summer,https://www.instagram.com/tv/Bvrq3aeAYBX/
32,@fallontonight,@MarkRuffalo must answer questions about @Avengers: Endgame while hooked up to a lie detector #FallonTonight,1320,122k,2019-03-27T22:15:06,2000085,3:06,Mark Ruffalo Gets Hooked Up to a Lie Detector,https://www.instagram.com/tv/BvhzEg1HM_z/
33,@fallontonight,&quot;Shaq&quot; creates a very special bracket for March Madness.,380,30.3k,2019-03-22T02:48:49,548256,1:21,Shaq Bracket: March Madness 2019,https://www.instagram.com/tv/BvS1FtxHI1x/
34,@fallontonight,Jimmy and Aidy Bryant shout their deepest confessions and insecurities to the whole world!,271,58.1k,2019-03-20T16:57:11,944054,2:01,Hey World! with Aidy Bryant,https://www.instagram.com/tv/BvPMEEfgHiv/
35,@fallontonight,"Tina Fey is appearing on “The Tonight Show” to promote her new comedy “Wine Country,” and for some reason she is upset with Jimmy. Jimmy, on the other hand, has no idea what she’s upset about. #NoFlipping",44,1947,2019-02-22T02:24:57,173833,0:53,"Sneak Peek: Behind-The-Scenes of #FallonTonight on Monday, 2/25",https://www.instagram.com/tv/BuKrRpRANRA/
36,@fallontonight,Bernie Sanders announces that he is running for president again in 2020 with a special message.,1540,71.6k,2019-02-20T05:28:37,846901,2:30,Bernie Sanders Announces His 2020 Presidential Run,https://www.instagram.com/tv/BuF35i7AA7S/
37,@fallontonight,"Adam Sandler sings &quot;My Jimmy Fallontine,&quot; a parody of &quot;My Funny Valentine&quot; he wrote in honor of The Tonight Show&#x27;s fifth anniversary.",212,8320,2019-02-12T06:38:42,350677,1:57,Adam Sandler Serenades Jimmy for The Tonight Show's Fifth Anniversary,https://www.instagram.com/tv/BtxZc0sHsfR/
38,@fallontonight,Peter (Jimmy) tries to sing &quot;Escape (The Piña Colada Song)&quot; but keeps getting interrupted by a heckler (Andy Samberg).,373,9529,2019-01-09T06:07:37,378603,4:12,"Peter and His Heckler - ""Escape (The Piña Colada Song)"" with Andy Samberg",https://www.instagram.com/tv/BsZy5qshBRr/
39,@fallontonight,Benedict Cumberbatch and Jimmy go head-to-head taking turns watching funny Internet videos and trying not to laugh.,931,37k,2018-11-04T01:48:02,1086946,3:50,Try Not to Laugh Challenge with Benedict Cumberbatch,https://www.instagram.com/tv/BpvYyNnHZoW/
40,@fallontonight,Jimmy challenges Saturday Night Live&#x27;s Melissa Villaseñor to a game of random musical impressions like Gwen Stefani singing &quot;Three Blind Mice&quot; and Post Malone singing &quot;Itsy Bitsy Spider.&quot;,228,13k,2018-10-23T17:33:14,438737,5:48,Wheel of Musical Impressions with Melissa Villaseñor,https://www.instagram.com/tv/BpSLCYBHSiV/
41,@fallontonight,Shawn Mendes joins Jimmy and The Roots to perform his hit &quot;Treat You Better&quot; with classroom instruments.,357,9990,2018-10-09T04:49:46,248511,2:55,"Jimmy, Shawn Mendes & The Roots ""Treat You Better"" (Classroom Instruments)",https://www.instagram.com/tv/Bosw0Xzh0Xg/
42,@fallontonight,Post Malone is challenged to keep his cool as he watches a few videos with jump scares hidden somewhere in them.,128,4032,2018-10-03T18:01:25,173939,2:19,?????Post Malone Takes The Jump Scare Dare Challenge?????,https://www.instagram.com/tv/Boeu_UQnUPH/
43,@fallontonight,"Kevin Hart struggles to keep his fear in check as Robert Irwin, 14-year-old son of Crocodile Hunter Steve Irwin, brings out some interesting animals to show him and Jimmy, including some kingsnakes, a tarantula and a falcon.",407,12.1k,2018-09-26T23:13:53,258607,14:38,Kevin Hart Is Terrified of Robert Irwin's Animals,https://www.instagram.com/tv/BoNQxN2H2V7/
44,@fallontonight,,113,4771,2018-09-20T17:24:26,138045,5:06,Jimmy Fallon and Kevin Hart Go Back to High School,https://www.instagram.com/tv/Bn9Mbznn5lP/
