,title,vid_length,approx_views,approx_comments,vid_url
0,Here's hoping 2020 is as amazing as 2019. ?? #Songland,4:58,11.8k,34,https://www.instagram.com/tv/B6vUi3IHMGD/
1,We give you: the lovable and fearless @ryantedder. ? #Songland,1:22,21.9k,93,https://www.instagram.com/tv/B5I52K7BEt1/
2,Comment your favorite thing about @shanemcanally.,1:23,15.1k,203,https://www.instagram.com/tv/B3ZfnNtJEd-/
