,title,vid_length,approx_views,approx_comments,vid_url
50,GIve a BIG #AGT welcome to @aleshaofficial! ?,2:27,53.4k,121,https://www.instagram.com/tv/B6jBcfvh-9-/
51,It's always a fun time when @accordionhans and @dannaturman are here! ?,2:00,28.5k,25,https://www.instagram.com/tv/B6iwDn0ndxh/
52,He fought through the pain and now he’s back to compete among the best!,3:01,262k,317,https://www.instagram.com/tv/B6WEdn4hwCj/
53,@accordionhans is bringing his charm back to America.,3:27,247k,273,https://www.instagram.com/tv/B6OD3S8poNF/
54,"The stakes are high, but can @duotranscend go higher?",3:38,304k,404,https://www.instagram.com/tv/B6J4F17FKI1/
55,We've got a healthy dose of bingeworthy #AGT performances for you. ?,16:04,163k,93,https://www.instagram.com/tv/B5NeQpxBd0M/
56,Here are your Season 2 Champions!,2:03,69.2k,519,https://www.instagram.com/tv/B5Dt7P7l9nS/
57,Fridays are for funny. ? #AGT,18:35,25.4k,37,https://www.instagram.com/tv/B4435och3bv/
58,We stan these magic moments! ? #AGT,19:19,68.5k,43,https://www.instagram.com/tv/B4xJm3nBKvs/
59,These auditions blew our minds! ?,25:57,217k,173,https://www.instagram.com/tv/B4m2Xy4BFtz/
60,Who could've seen these moments coming?,17:33,79.7k,66,https://www.instagram.com/tv/B4VXJDvpAEA/
61,"Pianos, puppets, and WHAT?",16:12,54.3k,64,https://www.instagram.com/tv/B4IfKkzpYqq/
62,We have some information to @cher with you.,3:05,50.6k,73,https://www.instagram.com/tv/B4BI1vjBjmS/
63,"We laughed, we cried, we lit stuff on fire!",19:15,36.8k,35,https://www.instagram.com/tv/B3-L_HLp2RX/
64,We miss you too. ??,27:03,69.3k,55,https://www.instagram.com/tv/B3xUAt2ptEB/
65,We had to watch this through our fingers! ?,14:41,42.2k,43,https://www.instagram.com/tv/B3ploPKJwCp/
66,We like to keep it interesting here.,16:35,194k,139,https://www.instagram.com/tv/B3h3SBwJ8RJ/
67,This season had us reaching for the tissues.,21:30,78.9k,86,https://www.instagram.com/tv/B3XkAiclIzz/
68,Let's hear it for the talented ladies of #AGT!,24:36,265k,84,https://www.instagram.com/tv/B3NQ1BOnvPE/
69,You can't fake fabulous!,11:12,43.2k,29,https://www.instagram.com/tv/B3M8OtiBjQe/
70,One man. Many faces. ???,10:58,194k,238,https://www.instagram.com/tv/B3KXb79jiGz/
71,Who could forget these mind-bending performances?,15:52,79k,66,https://www.instagram.com/tv/B3Hyo7NAXut/
72,You deserve a break!,21:17,49.6k,87,https://www.instagram.com/tv/B3FicZjnkTh/
73,America fell in love with her and her message.,7:54,77.1k,74,https://www.instagram.com/tv/B3FN2DAJM6z/
74,Looking back at @beniciobryant's #AGT journey. ?,8:53,65.4k,257,https://www.instagram.com/tv/B3CpDMYJG-A/
75,Do you believe in magic?,21:11,19.6k,39,https://www.instagram.com/tv/B3AY2q8nHsH/
76,When's the last time you LOLed?,25:21,39.3k,61,https://www.instagram.com/tv/B290D2eHc8Z/
77,It's V.Important you watch this right now.,14:31,266k,522,https://www.instagram.com/tv/B27PRCyHD7i/
78,Already counting the days until next season?,22:49,25.9k,36,https://www.instagram.com/tv/B24qeVsDShz/
79,"@choirafrica performing ""Africa"" is everything. ??",2:58,38.9k,126,https://www.instagram.com/tv/B24qhUbJ_Jd/
80,You're going to want to see this! ?,2:33,50.9k,187,https://www.instagram.com/tv/B24V63vJavo/
81,Try not singing along to this...we'll wait.,2:28,45.8k,127,https://www.instagram.com/tv/B22Fuf9JWw0/
82,@LBKidsofficial had a full-on food fight!,2:00,52.2k,117,https://www.instagram.com/tv/B21xNp0Jd__/
83,We promise you will not want to miss this.,2:47,28.9k,65,https://www.instagram.com/tv/B2zg7jrJIe1/
84,Aggressively handsome. Wildly funny. ?,3:49,16.5k,37,https://www.instagram.com/tv/B2zMVN1JtJv/
85,This brought us to tears in the best way. ??,2:36,48k,143,https://www.instagram.com/tv/B2w8IpQJpNa/
86,"Can confirm, the ceiling can't hold @dycofficial.",2:40,35.7k,128,https://www.instagram.com/tv/B2wniQSpNZq/
87,More like V.UNBELIEVEABLE! ?,2:14,100k,429,https://www.instagram.com/tv/B2uXVt6JG7f/
88,We dare you not to cry. ?,3:02,84.1k,418,https://www.instagram.com/tv/B2uCvdJJIw5/
89,Presenting the Best of Television’s Ryan Niemiller. #AGT,14:25,26k,80,https://www.instagram.com/tv/B2sbsFMnpsq/
90,Shaking @cripplethreat8’s hand is NOT contagious.,3:49,19.2k,26,https://www.instagram.com/tv/B2sN9KvnNIr/
91,We’d road trip with @cripplethreat8! #AGT,3:16,14.3k,27,https://www.instagram.com/tv/B2sAOTlHIL8/
92,We’d sign up for @cripplethreat8’s workout plan!,2:56,32.8k,44,https://www.instagram.com/tv/B2ryfYqndPa/
93,This. Was. FIRE! ?,4:59,57.8k,141,https://www.instagram.com/tv/B2pwIJMJVSw/
94,This is what crushing it looks like. ?,2:40,67.9k,304,https://www.instagram.com/tv/B2piZWMpIOF/
95,High hopes got them here.,2:51,42.5k,112,https://www.instagram.com/tv/B2pNzA6pUHS/
96,@dycofficial was unshakeable in Quarterfinals. ?,2:29,48.6k,134,https://www.instagram.com/tv/B2o5Mi4JS86/
97,This performance stopped our hearts. ??,3:20,71.2k,229,https://www.instagram.com/tv/B2nZB3FBs5t/
98,@kodileerocks is never lost when he sings.,3:02,76.9k,360,https://www.instagram.com/tv/B2nLS8uBMl9/
99,Very busy watching this on repeat right now.,3:02,70.3k,240,https://www.instagram.com/tv/B2m9kLhpSQe/
100,Straight from Auditions to Lives.,3:08,83.1k,320,https://www.instagram.com/tv/B2mv1PTHN2-/
101,The performance that made time stand still.,8:14,93.6k,445,https://www.instagram.com/tv/B2mUXmynEZB/
102,Every @kodileerocks performance this season.,20:30,126k,733,https://www.instagram.com/tv/B2l_xOUnPYo/
103,A little unity never hurt.,2:49,63.6k,135,https://www.instagram.com/tv/B2k30M5n_cZ/
104,HECK YEAH!,2:05,255k,"2,217",https://www.instagram.com/tv/B2k3FgsHTVO/
105,This is the reason…,3:20,214k,"1,101",https://www.instagram.com/tv/B2k1zYYH5r8/
106,@Cher live on #AGT? You better stop and watch!,3:05,69.3k,413,https://www.instagram.com/tv/B2kz5u0nqLL/
107,Don’t turn your back on the Cripple Threat!,5:12,45.9k,218,https://www.instagram.com/tv/B2kzNWTHZI1/
108,A little unity never hurt.,2:46,"3,587",17,https://www.instagram.com/tv/B2kyDS_npHp/
109,Buzz Off!,2:10,62.4k,173,https://www.instagram.com/tv/B2kxOB-HUkN/
110,"Beards, video games, and @cher?",3:02,36.8k,75,https://www.instagram.com/tv/B2kwx_XHqNz/
111,World Premiere Alert!,3:08,98.3k,309,https://www.instagram.com/tv/B2kvoVPnYnN/
112,Things are getting spicy in here. ?,3:07,126k,515,https://www.instagram.com/tv/B2kuaYeH7AH/
113,Don’t turn your back on the Cripple Threat!,5:12,"1,474",5,https://www.instagram.com/tv/B2ktlpPn3lr/
114,"Grab tissues, then WATCH THIS.",3:19,49.3k,196,https://www.instagram.com/tv/B2krwYlHo8A/
115,Dueling violins? Yeah we’re here for that!,2:58,62.3k,166,https://www.instagram.com/tv/B2krBM7nYNo/
116,THIS is the #AGTFinale open you deserve.,4:59,70.6k,174,https://www.instagram.com/tv/B2kqc9FHJ1U/
117,These finalists know THIS is their moment. #AGT,1:09,62.4k,186,https://www.instagram.com/tv/B2aa5fngUZj/
118,Who will be America's next big star? ?,2:05,74.1k,423,https://www.instagram.com/tv/B2XS_o0HvAO/
119,@dycofficial is re-writing history with this performance! #AGT,2:51,59.6k,183,https://www.instagram.com/tv/B2XScpZgMnR/
120,"Yes, we are also crying after this beautiful @emannebeasha performance.",2:49,62.4k,290,https://www.instagram.com/tv/B2W2IcEg8X6/
121,@cripplethreat8 reminds us all to avoid your fears! ?#AGT,3:16,54.3k,127,https://www.instagram.com/tv/B2VAL_FAO2_/
122,"If @VoicesofService doesn’t move you, we don’t know what will. #AGT",2:48,48k,158,https://www.instagram.com/tv/B2UqdDjAhhj/
123,@v.unbeatable_official_india had us on the edge of our seats! ?,2:01,92.2k,431,https://www.instagram.com/tv/B2UXnDjAB_e/
