,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,Url,PullDate,City,SqftDollar,Preference
30,"12639 Cameron Drive, Richmond, BC",East Cambie,1048000.0,5 bed,5 bath,3018 sqft,2019,https://www.zolo.ca/richmond-real-estate/12639-cameron-drive,2020-04-04,Richmond,347.2498343273691,n
31,"14068 Coldicutt Avenue, White Rock, BC",White Rock,2680000.0,8 bed,8 bath,7690 sqft,2013,https://www.zolo.ca/white-rock-real-estate/14068-coldicutt-avenue,2020-04-04,White Rock,348.5045513654096,y
32,"3-12320 No. 3 Road, Richmond, BC",Gilmore,3180000.0,9 bed,11 bath,9111 sqft,2019,https://www.zolo.ca/richmond-real-estate/12320-no-3-road/3,2020-04-04,Richmond,349.0286466908133,n
33,"5129 Wilson Drive, Delta, BC",Tsawwassen Central,2388000.0,5 bed,7 bath,6748 sqft,2018,https://www.zolo.ca/delta-real-estate/5129-wilson-drive,2020-04-04,Delta,353.88263189093067,yy
34,"12707 104a Avenue, Surrey, BC",Cedar Hills,1429000.0,7 bed,7 bath,4027 sqft,2019,https://www.zolo.ca/surrey-real-estate/12707-104a-avenue,2020-04-04,Surrey,354.8547305686615,0
35,"12749 104a Avenue, Surrey, BC",Cedar Hills,1429000.0,7 bed,7 bath,3973 sqft,2019,https://www.zolo.ca/surrey-real-estate/12749-104a-avenue,2020-04-04,Surrey,359.67782532091616,0
36,"15832 Prospect Crescent, White Rock, BC",White Rock,2088000.0,6 bed,6 bath,5801 sqft,2017,https://www.zolo.ca/white-rock-real-estate/15832-prospect-crescent,2020-04-04,White Rock,359.93794173418377,n
37,"6010 131a Street, Surrey, BC",Panorama Ridge,1460000.0,8 bed,6 bath,4029 sqft,2013,https://www.zolo.ca/surrey-real-estate/6010-131a-street,2020-04-04,Surrey,362.37279722015387,0
38,"13107 98a Avenue, Surrey, BC",Cedar Hills,2398998.0,9 bed,9 bath,6564 sqft,2017,https://www.zolo.ca/surrey-real-estate/13107-98a-avenue,2020-04-04,Surrey,365.4780621572212,0
39,"3593 150 Street, Surrey, BC",Morgan Creek,1479000.0,5 bed,5 bath,4030 sqft,2019,https://www.zolo.ca/surrey-real-estate/3593-150-street,2020-04-04,Surrey,366.9975186104218,0
40,"12768 97a Avenue, Surrey, BC",Cedar Hills,1599000.0,6 bed,5 bath,4337 sqft,2018,https://www.zolo.ca/surrey-real-estate/12768-97a-avenue,2020-04-04,Surrey,368.68803320267466,0
41,"14918 35a Avenue, Surrey, BC",Morgan Creek,1593024.0,6 bed,7 bath,4306 sqft,2020,https://www.zolo.ca/surrey-real-estate/14918-35a-avenue,2020-04-04,Surrey,369.9544821179749,0
42,"13150 20 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,1999000.0,7 bed,7 bath,5396 sqft,2020,https://www.zolo.ca/surrey-real-estate/13150-20-avenue,2020-04-04,Surrey,370.45959970348406,0
43,"9646 153a Street, Surrey, BC",Fraser Heights,1588000.0,7 bed,7 bath,4276 sqft,2016,https://www.zolo.ca/surrey-real-estate/9646-153a-street,2020-04-04,Surrey,371.3751169317119,0
44,"14896 35a Avenue, Surrey, BC",Morgan Creek,1498000.0,6 bed,6 bath,4004 sqft,2020,https://www.zolo.ca/surrey-real-estate/14896-35a-avenue,2020-04-04,Surrey,374.12587412587413,0
