,title,vid_length,approx_views,approx_comments,vid_url
50,"@themakerninja doesn't just invent obstacles, he dominates them. ?",4:49,102k,133,https://www.instagram.com/tv/B0G9FVKADF0/
51,Started from the Snapchat competition now Landon is HERE.,2:05,28.6k,13,https://www.instagram.com/tv/B0GqcibgzFs/
52,@MinneSoderman showed the LA City Finals who's boss! #AmericanNinjaWarrior,3:27,30.4k,23,https://www.instagram.com/tv/B0ByVUYA17q/
53,These Ninjas had us on the edge of our seats. #AmericanNinjaWarrior,2:31,28.6k,14,https://www.instagram.com/tv/Bz9bab4neWF/
54,There's a reason @Youngflip7 is one of the greats. WOW.,2:17,72.3k,60,https://www.instagram.com/tv/Bz9YrTgnwOr/
55,@Kevin_The_Bull isn't one to mess with. ?,3:24,172k,122,https://www.instagram.com/tv/Bz9SQVmHnnQ/
56,City Qualifiers brought out the beasts in all our competitors. ?,4:13,60.6k,47,https://www.instagram.com/tv/Bz1avDOgH2t/
57,"@thebriankretsch has competed EVERY season, but this run is unlike the rest",2:48,30k,70,https://www.instagram.com/tv/Bz02q85ghMZ/
58,Nothing fuels these Ninjas more than their strong support systems!,2:03,91.2k,27,https://www.instagram.com/tv/Bzra_nSAMas/
59,"Bride to be, @flexlabreck DOM-IN-NATED the course! ?",2:51,71k,157,https://www.instagram.com/tv/BzrYBr6AUSV/
60,@EthanSwanson conquered EVERY fear out on the course.,1:46,168k,99,https://www.instagram.com/tv/BzrVqTtAfnB/
61,@islandninja’s in it to WIN IT. ??,3:06,172k,97,https://www.instagram.com/tv/BzilJmygosw/
62,"Dedication, redemption and heart make up these epic Ninjas.",2:15,38.9k,23,https://www.instagram.com/tv/BzZaPhagEQj/
63,"@the.flying.phoenix didn't come here to PLAY, he came to WIN.",3:46,229k,105,https://www.instagram.com/tv/BzZX5fAgWa-/
64,"It may be summer, but @allyssabeird is putting class back in session.",2:10,59.9k,35,https://www.instagram.com/tv/BzZWDZhgFPG/
65,@JoeMoravsky is bringing the electricity to the course. ??,2:21,93.1k,105,https://www.instagram.com/tv/BzQmy-CgOmQ/
66,@JessieGraffPWR returned with one heroic run. #AmericanNinjaWarrior,3:37,162k,137,https://www.instagram.com/tv/BzOI5NOgDvF/
67,@meyer_jax crushed it in Tacoma. Scout's honor. ??,1:05,51.1k,30,https://www.instagram.com/tv/BzLnRnsAh9R/
68,Blink and you might miss these epic runs. #AmericanNinjaWarrior,3:02,197k,54,https://www.instagram.com/tv/BzHYZzDArq5/
69,Yee and @LancePekus cannot stress this enough...HAW. ?,2:52,66.5k,101,https://www.instagram.com/tv/BzHWVF4A0U1/
70,@zimmpossible just made HISTORY! #AmericanNinjaWarrior,4:06,86.5k,282,https://www.instagram.com/tv/BzHMfEHgEMa/
71,@JESSIEgraffPWR's return is nothing short of epic. #AmericanNinjaWarrior,2:00,206k,134,https://www.instagram.com/tv/By--yNcgQBW/
72,The grass is always greener for @andrizoWarrior. #AmericanNinjaWarrior,2:38,27.9k,33,https://www.instagram.com/tv/By5eAFYgW7_/
