,title,vid_length,approx_views,approx_comments,vid_url
49,Jimmy & @postmalone go to Medieval Times,4:15,456k,"1,671",https://www.instagram.com/tv/B2MJgdtgQC9/
50,Jimmy tries to teach @orlandobloom how to properly craft a #MeAlsoMe meme,1:29,891k,824,https://www.instagram.com/tv/B2Arfc8AWfZ/
51,Music Monday w/ @Camila_Cabello,1:58,883k,"1,368",https://www.instagram.com/tv/B16dvMagfex/
52,"@Jackblack & Jimmy Recreate ""More Than Words"" Music Video",3:17,948k,"7,589",https://www.instagram.com/tv/B1tx-7IAali/
53,Music Monday w/ @lukebryan,3:53,737k,"1,978",https://www.instagram.com/tv/B1oWdA3gHUz/
54,It’s back to school for Jimmy & @kevinhart4real in this #TBT,5:06,528k,897,https://www.instagram.com/tv/B1eC5USAHNS/
55,Music Monday w/ @haileesteinfeld,4:25,1m,860,https://www.instagram.com/tv/B1WXh1kg4HP/
56,John Travolta & Jimmy Compete In A Travolt-Off!,3:22,1.1m,"2,283",https://www.instagram.com/tv/B1PGUXUAtFX/
57,Wheel of Musical Impressions Rematch w/ @alessiasmusic,5:51,1.1m,"2,360",https://www.instagram.com/tv/B1K0QcGAxyU/
58,'80s Aerobics Dance Challenge w/ @kateupton,3:04,1.1m,"3,962",https://www.instagram.com/tv/B1FqOzSgvjT/
59,Music Monday w/ @alessiasmusic,4:05,1.4m,"1,627",https://www.instagram.com/tv/B1EgcTKgpBd/
60,Jimmy & @postmalone sing Irish folk song “Seven Drunken Nights”,2:32,1m,"2,048",https://www.instagram.com/tv/B1CVdPYAHFZ/
61,Ron Burgundy (Will Ferrell) has beef with Shawn Mendes,6:21,963k,"1,132",https://www.instagram.com/tv/B07h0uZAeDv/
62,Jimmy and @queereye’s Fab Five ride The BEAST,2:42,813k,"1,794",https://www.instagram.com/tv/B06EsQWANWw/
63,Cue Card Cold Read w/ @juliannemoore,2:49,595k,684,https://www.instagram.com/tv/B0zn7TMAxpn/
64,Jimmy addresses the El Paso and Dayton tragedies,1:06,1.1m,"2,733",https://www.instagram.com/tv/B0zEwGqActm/
65,We Test How Well @QueerEye’s Fab Five Know Each Other,7:03,1.6m,"1,744",https://www.instagram.com/tv/B0lc_DhA8Mj/
66,#SummerSongs with @camila_cabello,6:00,2m,"1,171",https://www.instagram.com/tv/B0eOQACgKC5/
67,Summer Science with Resident Science Expert Kevin Delaney,6:17,921k,243,https://www.instagram.com/tv/B0Yl2juAup0/
68,Wheel of Opinions with @davidspade,2:59,1.1m,802,https://www.instagram.com/tv/B0Pr-kcgNd8/
69,Mad Lib Theater With @Kenanthompson And @Joemanganiello,2:43,525k,318,https://www.instagram.com/tv/B0GkOfBAc_U/
70,Jimmy and @stephenathome Perform the “NeverEnding Story” Duet,1:30,917k,"1,908",https://www.instagram.com/tv/Bz_FmumAAl8/
71,@jackblack gives us a taste of the Sax-A-Boom,1:01,2.3m,"4,890",https://www.instagram.com/tv/Bz6IP48gE26/
72,@maroon5 Performs in an NYC Subway in Disguise,3:28,1.1m,"2,476",https://www.instagram.com/tv/BzoVW0DAfBt/
73,@postmalone took Jimmy to Olive Garden,6:51,1.7m,"2,488",https://www.instagram.com/tv/BzeH_Zmg8_i/
74,"Jimmy Freaks Out Riding Puerto Rico's ""Monster"" Zip Line",3:06,1m,"1,598",https://www.instagram.com/tv/BzEDQISA4u6/
75,@andybovine and Jimmy Are “Torn” About Each Other,2:16,1.3m,812,https://www.instagram.com/tv/By4E3cxgR2z/
76,True Confessions with @chrishemsworth and @kumailn.,6:40,1.6m,"1,079",https://www.instagram.com/tv/ByslBPwASRy/
77,Know Your Bro with @jonasbrothers!,5:33,2m,930,https://www.instagram.com/tv/ByqGnAiAqkb/
78,Robert Irwin and Jimmy Bottle Feed a Baby Miniature Horse,4:12,1.2m,"1,986",https://www.instagram.com/tv/ByStMsxgiUH/
79,@robertirwinphotography’s millipede is named after @milliebobbybrown.,2:10,1.5m,564,https://www.instagram.com/tv/Bxz39Fug4v2/
80,@KevinHart4Real’s Dance Floor Fail,2:45,1.2m,"2,000",https://www.instagram.com/tv/BxwH7TOABBP/
81,@JBalvin On How He Ended Up On-Stage With Beyoncé,3:02,1.3m,920,https://www.instagram.com/tv/BxtWJ8Vg_gC/
82,Maluma Explains the Origin of His Name and Relives The Met Gala,3:38,2.6m,"2,986",https://www.instagram.com/tv/BxeEQQKg4ao/
83,Amirah Kassem Shows Jimmy How to Make a Sprinkle-Filled Explosion Cake,2:41,2.3m,"1,300",https://www.instagram.com/tv/BxTk-R7HbCM/
84,Compare Pokémon with The Roots’ Tarik Trotter,2:28,876k,"1,711",https://www.instagram.com/tv/BxRIzNVnplH/
85,Rita Ora and Lizzo Spent the Met Gala Flirting with Waiters & Singing Cher,2:35,1m,266,https://www.instagram.com/tv/BxOnzLBnctq/
86,“Two Stings on the Moon”,3:00,921k,"1,278",https://www.instagram.com/tv/BwvqWijHDPf/
87,Beat Saber with Brie Larson,3:59,1.6m,"1,700",https://www.instagram.com/tv/BwqkXKSnMAB/
88,Alex Rodriguez and Jimmy Crash a Hip-Hop Dance Class,3:36,957k,"1,819",https://www.instagram.com/tv/Bwn8ehtniTf/
89,Avengers: Endgame Cast Sings “We Didn’t Start the Fire”,1:56,1.5m,"6,600",https://www.instagram.com/tv/Bwlb-O9neWF/
90,Pete Buttigieg is the Avocado Toast of Democrats,2:40,40.6k,13,https://www.instagram.com/tv/BwduQiSHdgj/
91,Musical Beers with The Chainsmokers and 5 Seconds of Summer,4:15,975k,466,https://www.instagram.com/tv/Bvrq3aeAYBX/
92,Mark Ruffalo Gets Hooked Up to a Lie Detector,3:06,2m,"1,319",https://www.instagram.com/tv/BvhzEg1HM_z/
93,Shaq Bracket: March Madness 2019,1:21,552k,378,https://www.instagram.com/tv/BvS1FtxHI1x/
94,Hey World! with Aidy Bryant,2:01,949k,268,https://www.instagram.com/tv/BvPMEEfgHiv/
95,"Sneak Peek: Behind-The-Scenes of #FallonTonight on Monday, 2/25",0:53,176k,45,https://www.instagram.com/tv/BuKrRpRANRA/
96,Bernie Sanders Announces His 2020 Presidential Run,2:30,850k,"1,522",https://www.instagram.com/tv/BuF35i7AA7S/
97,Adam Sandler Serenades Jimmy for The Tonight Show's Fifth Anniversary,1:57,355k,213,https://www.instagram.com/tv/BtxZc0sHsfR/
98,"Peter and His Heckler - ""Escape (The Piña Colada Song)"" with Andy Samberg",4:12,383k,375,https://www.instagram.com/tv/BsZy5qshBRr/
99,Try Not to Laugh Challenge with Benedict Cumberbatch,3:50,1.1m,"1,000",https://www.instagram.com/tv/BpvYyNnHZoW/
100,Wheel of Musical Impressions with Melissa Villaseñor,5:48,443k,227,https://www.instagram.com/tv/BpSLCYBHSiV/
101,"Jimmy, Shawn Mendes & The Roots ""Treat You Better"" (Classroom Instruments)",2:55,253k,357,https://www.instagram.com/tv/Bosw0Xzh0Xg/
102,?????Post Malone Takes The Jump Scare Dare Challenge?????,2:19,176k,128,https://www.instagram.com/tv/Boeu_UQnUPH/
103,Kevin Hart Is Terrified of Robert Irwin's Animals,14:38,264k,407,https://www.instagram.com/tv/BoNQxN2H2V7/
104,Jimmy Fallon and Kevin Hart Go Back to High School,5:06,140k,116,https://www.instagram.com/tv/Bn9Mbznn5lP/
105,Pup Quiz with Glenn Close and Finn Wolfhard,7:22,62.3k,39,https://www.instagram.com/tv/BmKljeCFKDC/
106,"""Ew!"" with Britney Spears",5:12,131k,84,https://www.instagram.com/tv/BmJPC6-l5Bq/
107,"Jimmy, Backstreet Boys & The Roots Sing ""I Want It That Way""",2:44,250k,689,https://www.instagram.com/tv/Bkl-fYXDxqF/
108,Pete Davidson Confirms His Engagement To Ariana Grande,8:07,106k,53,https://www.instagram.com/tv/BklX98sD6La/
109,Jimmy Fallon & NBA Draft Stars '90s Sitcom Theme,1:07,102k,47,https://www.instagram.com/tv/BkThzo1j82q/
110,Box of Lies with Chris Pratt,5:40,348k,189,https://www.instagram.com/tv/BkQVfFUhEZa/
