,title,vid_length,approx_views,approx_comments,vid_url
58,Like the new Joker movie?,2:50,718k,"5,697",https://www.instagram.com/tv/B3i6JEwlua_/
59,@dkharbour gives an exclusive tour!,2:48,452k,438,https://www.instagram.com/tv/B3i5MsIFI7X/
60,It’s the Equality Town Hall and the Democrats are going all out.,9:27,303k,415,https://www.instagram.com/tv/B3i3TJ5lTR-/
61,There’s a problem in @dkharbour’s dressing room...,1:13,327k,237,https://www.instagram.com/tv/B3aOBLMlKLq/
62,@chethinks and @colinjost cover leaked White House texts,3:51,461k,925,https://www.instagram.com/tv/B3Q4xkzFEok/
63,"Phoebe Waller-Bridge on Fleabag, Killing Eve...",4:10,474k,919,https://www.instagram.com/tv/B3Q048xFHul/
64,Take a walk down @taylorswift memory lane ?,2:03,624k,594,https://www.instagram.com/tv/B3PzKyLFeX0/
65,Phoebe Waller-Bridge has three Emmys!,1:26,389k,612,https://www.instagram.com/tv/B3H3vHglT1t/
66,? @billieeilish ?,3:03,552k,"1,026",https://www.instagram.com/tv/B3Fhw5mlj1A/
67,Weekend Update is back and there is A LOT to catch up on. #SNLPremiere,2:22,631k,"1,220",https://www.instagram.com/tv/B2-3lBqlUYW/
68,It’s the Impeachment Town Hall you’ve all been waiting for. #SNLPremiere,10:09,500k,"1,075",https://www.instagram.com/tv/B2-2UcWlqV9/
69,? @woodyharrelson returns to Studio 8H this weekend for #SNLPremiere! ?,2:13,461k,387,https://www.instagram.com/tv/B2z5QX-FtKv/
70,Stefon’s Guide to Fall ?,9:59,622k,"2,311",https://www.instagram.com/tv/B2xhOJulQ_w/
71,#CreatingSNL: Live Music,8:10,95.3k,87,https://www.instagram.com/tv/B1sIEt6l5LY/
72,#CreatingSNL: Crane Camera,4:25,156k,110,https://www.instagram.com/tv/B1bljr5F8CJ/
73,#CreatingSNL: Film Unit,12:30,251k,224,https://www.instagram.com/tv/B1UaNbhlJVo/
74,#CreatingSNL is nominated for an Emmy!,2:02,137k,47,https://www.instagram.com/tv/B1Oljj8l_-Y/
75,??? ?.?.?. is Emmy nominated!,2:40,362k,938,https://www.instagram.com/tv/B1MpBW0Fox7/
76,Guest Actress Emmy Nominee Highlights,1:13,320k,101,https://www.instagram.com/tv/B0YuyMvlK7k/
77,Guest Actor Emmy Nominee Highlights,1:34,256k,158,https://www.instagram.com/tv/B0TmV4eFFSP/
78,Kate’s Season 44 Highlights,1:32,466k,"1,536",https://www.instagram.com/tv/B0OoBAoFMKh/
79,#CreatingSNL: Makeup,5:39,292k,312,https://www.instagram.com/tv/BzDj4TJFVU1/
80,#CreatingSNL: Wardrobe,9:22,378k,345,https://www.instagram.com/tv/By8jQOmFmaL/
81,#CreatingSNL: Cue Cards,6:42,290k,354,https://www.instagram.com/tv/By3daETlfOd/
82,Creating SNL: Film Unit Outtakes,3:49,42.1k,10,https://www.instagram.com/tv/BlY2qm_F2iR/
83,Creating SNL: Hair and Makeup,4:06,33.4k,14,https://www.instagram.com/tv/BklVjySlo78/
84,Aidy Bryant’s Instagram Shout-out,0:31,77k,39,https://www.instagram.com/tv/BkQxrz2FzKM/
