,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
106,agt,Byx9ovYHi6v,,https://www.instagram.com/tv/Byx9ovYHi6v/,,592465,537,69067,The search for new talent continues on #AGT TUESDAY 8/7c on @nbc.,
107,agt,ByT0ycPhTUg,@LBKidsOfficial lit up the stage! ?? #AGT,https://www.instagram.com/tv/ByT0ycPhTUg/,3:58,147962,257,23855,,
108,agt,ByTrvPkhJOi,@beniciobryant hit the judges with raw talent and authenticity. ? #AGT,https://www.instagram.com/tv/ByTrvPkhJOi/,4:49,292608,882,47721,,
109,agt,ByK-PH8Bf3k,Coconuts: ? Blindfold: ? Sledgehammer? ?,https://www.instagram.com/tv/ByK-PH8Bf3k/,5:42,177162,345,21948,You won’t want to miss #AGT this Tuesday 8/7c on @nbc.,
110,agt,ByB2AU5B-x7,@kodileerocks touched all of our hearts tonight. ???? #AGTPremiere,https://www.instagram.com/tv/ByB2AU5B-x7/,8:14,850136,6809,157285,,
111,agt,ByBsK_CheGu,You HAVE to see @SophiePecora’s moving performance! ??,https://www.instagram.com/tv/ByBsK_CheGu/,7:21,224436,627,31912,,
112,agt,Bx2aXA6B_jM,There’s a reason their name is V.Unbeatable!,https://www.instagram.com/tv/Bx2aXA6B_jM/,2:18,238510,766,37378,See for yourself on the season premiere of #AGT Tuesday 8/7c on @NBC.,
113,agt,BnrIVh_HruY,Talent University: Jon Dorenbos,https://www.instagram.com/tv/BnrIVh_HruY/,3:15,30885,8,756,Get ready to be the cool kid at Talent University when @JonDorenbos teaches you this card trick. ?? Created with our partner @DunkinDonuts.,
114,agt,BnpfgOVnxqz,"Global Sensation BTS Performs ""Idol"" on AGT",https://www.instagram.com/tv/BnpfgOVnxqz/,3:07,35146,174,2908,"We are SHOOK! The biggest boy band on the planet graced the AGT stage with their incredible performance of ""Idol"".",
115,agt,BncfU9LHFwu,Howie Mandel Pranks People While Undercover At An AGT Audition,https://www.instagram.com/tv/BncfU9LHFwu/,3:28,30644,20,1113,LOL! Howie puts AGT contestants in the most awkward situations. The reactions are priceless.,
