,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
31,fallontonight,BwduQiSHdgj,Pete Buttigieg is the Avocado Toast of Democrats,https://www.instagram.com/tv/BwduQiSHdgj/,2:40,38620,13,507,,2019-04-20
32,fallontonight,Bvrq3aeAYBX,Musical Beers with The Chainsmokers and 5 Seconds of Summer,https://www.instagram.com/tv/Bvrq3aeAYBX/,4:15,968281,469,62.4k,"The Chainsmokers, 5 Seconds of Summer, and Jimmy face off in a game of Musical Beers!",2019-03-31
33,fallontonight,BvhzEg1HM_z,Mark Ruffalo Gets Hooked Up to a Lie Detector,https://www.instagram.com/tv/BvhzEg1HM_z/,3:06,2000185,1320,122k,@MarkRuffalo must answer questions about @Avengers: Endgame while hooked up to a lie detector #FallonTonight,2019-03-27
34,fallontonight,BvS1FtxHI1x,Shaq Bracket: March Madness 2019,https://www.instagram.com/tv/BvS1FtxHI1x/,1:21,548312,380,30.3k,&quot;Shaq&quot; creates a very special bracket for March Madness.,2019-03-22
35,fallontonight,BvPMEEfgHiv,Hey World! with Aidy Bryant,https://www.instagram.com/tv/BvPMEEfgHiv/,2:01,944107,271,58.1k,Jimmy and Aidy Bryant shout their deepest confessions and insecurities to the whole world!,2019-03-20
36,fallontonight,BuKrRpRANRA,"Sneak Peek: Behind-The-Scenes of #FallonTonight on Monday, 2/25",https://www.instagram.com/tv/BuKrRpRANRA/,0:53,173861,44,1947,"Tina Fey is appearing on “The Tonight Show” to promote her new comedy “Wine Country,” and for some reason she is upset with Jimmy. Jimmy, on the other hand, has no idea what she’s upset about. #NoFlipping",2019-02-22
37,fallontonight,BuF35i7AA7S,Bernie Sanders Announces His 2020 Presidential Run,https://www.instagram.com/tv/BuF35i7AA7S/,2:30,846943,1540,71.6k,Bernie Sanders announces that he is running for president again in 2020 with a special message.,2019-02-20
38,fallontonight,BtxZc0sHsfR,Adam Sandler Serenades Jimmy for The Tonight Show's Fifth Anniversary,https://www.instagram.com/tv/BtxZc0sHsfR/,1:57,350711,212,8320,"Adam Sandler sings &quot;My Jimmy Fallontine,&quot; a parody of &quot;My Funny Valentine&quot; he wrote in honor of The Tonight Show&#x27;s fifth anniversary.",2019-02-12
39,fallontonight,BsZy5qshBRr,"Peter and His Heckler - ""Escape (The Piña Colada Song)"" with Andy Samberg",https://www.instagram.com/tv/BsZy5qshBRr/,4:12,378653,373,9533,Peter (Jimmy) tries to sing &quot;Escape (The Piña Colada Song)&quot; but keeps getting interrupted by a heckler (Andy Samberg).,2019-01-09
40,fallontonight,BpvYyNnHZoW,Try Not to Laugh Challenge with Benedict Cumberbatch,https://www.instagram.com/tv/BpvYyNnHZoW/,3:50,1087006,931,37k,Benedict Cumberbatch and Jimmy go head-to-head taking turns watching funny Internet videos and trying not to laugh.,2018-11-04
